student_id,course,institute_tier,cgpa,internships,certifications,job_portal_active,industry_demand,institute_score,placement_months,placement_label,starting_salary
STU0000,MBA,2,8.66,0,3,1,0.7,0.7,3,placed_3m,860706
STU0001,Arts,2,7.54,1,4,0,0.35,0.7,6,placed_6m,315447
STU0002,Nursing,3,6.53,1,3,0,0.6,0.45,12,placed_12m,392744
STU0003,Data Science,2,7.7,1,4,0,0.85,0.7,12,placed_12m,936493
STU0004,Engineering,2,6.7,1,4,1,0.75,0.7,6,placed_6m,639183
STU0005,Engineering,3,6.44,0,2,1,0.75,0.45,6,placed_6m,558419
STU0006,Engineering,2,5.93,2,0,1,0.75,0.7,6,placed_6m,749008
STU0007,Law,3,5.27,2,4,1,0.45,0.45,6,placed_6m,553646
STU0008,Data Science,1,6.77,1,1,1,0.85,1.0,12,placed_12m,1133788
STU0009,Nursing,2,7.37,0,3,1,0.6,0.7,6,placed_6m,453453
STU0010,Engineering,1,7.09,2,1,0,0.75,1.0,12,placed_12m,755825
STU0011,Arts,1,6.74,3,3,0,0.35,1.0,3,placed_3m,391363
STU0012,Law,3,6.16,0,2,1,0.45,0.45,12,placed_12m,487061
STU0013,Engineering,1,7.87,1,4,1,0.75,1.0,12,placed_12m,756192
STU0014,Engineering,2,5.75,0,0,1,0.75,0.7,6,placed_6m,674893
STU0015,Engineering,2,8.05,1,4,1,0.75,0.7,3,placed_3m,668440
STU0016,MBA,2,6.1,0,3,0,0.7,0.7,12,placed_12m,988203
STU0017,Data Science,3,6.37,1,0,0,0.85,0.45,6,placed_6m,973561
STU0018,MBA,1,5.59,2,4,1,0.7,1.0,12,placed_12m,886764
STU0019,Engineering,3,6.65,1,0,0,0.75,0.45,12,placed_12m,708783
STU0020,Data Science,3,8.27,1,3,0,0.85,0.45,12,placed_12m,1111654
STU0021,Engineering,2,7.77,1,2,1,0.75,0.7,3,placed_3m,725093
STU0022,Engineering,3,8.28,1,2,0,0.75,0.45,3,placed_3m,714784
STU0023,MBA,1,7.77,0,4,1,0.7,1.0,3,placed_3m,834101
STU0024,MBA,2,5.99,0,1,1,0.7,0.7,24,delayed,746085
STU0025,Nursing,2,6.84,3,3,1,0.6,0.7,6,placed_6m,479059
STU0026,Engineering,3,6.34,0,4,0,0.75,0.45,12,placed_12m,640560
STU0027,Data Science,3,8.66,2,4,0,0.85,0.45,6,placed_6m,1192537
STU0028,Data Science,2,5.88,3,2,1,0.85,0.7,3,placed_3m,1051457
STU0029,Engineering,3,8.18,1,0,0,0.75,0.45,6,placed_6m,635402
STU0030,Data Science,1,8.18,1,3,0,0.85,1.0,6,placed_6m,1228035
STU0031,Engineering,2,9.21,1,0,0,0.75,0.7,12,placed_12m,824309
STU0032,Engineering,2,6.75,3,3,0,0.75,0.7,6,placed_6m,772096
