student_id,course,institute_tier,cgpa,internships,certifications,job_portal_active,industry_demand,institute_score,placement_months,placement_label,starting_salary,employability_score,engagement_score,course_enc,label_enc
STU0000,MBA,2,8.66,0,3,1,0.7,0.7,3,placed_3m,860706,0.5781,0.84,4,0
STU0001,Arts,2,7.54,1,4,0,0.35,0.7,6,placed_6m,315447,0.5797333333333333,0.32000000000000006,0,1
STU0002,Nursing,3,6.53,1,3,0,0.6,0.45,12,placed_12m,392744,0.5218833333333334,0.24,5,2
STU0003,Data Science,2,7.7,1,4,0,0.85,0.7,12,placed_12m,936493,0.6603333333333332,0.32000000000000006,1,2
STU0004,Engineering,2,6.7,1,4,1,0.75,0.7,6,placed_6m,639183,0.6103333333333334,0.92,2,1
STU0005,Engineering,3,6.44,0,2,1,0.75,0.45,6,placed_6m,558419,0.4479,0.76,2,1
STU0006,Engineering,2,5.93,2,0,1,0.75,0.7,6,placed_6m,749008,0.6267166666666666,0.6,2,1
STU0007,Law,3,5.27,2,4,1,0.45,0.45,6,placed_6m,553646,0.5486166666666668,0.92,3,1
STU0008,Data Science,1,6.77,1,1,1,0.85,1.0,12,placed_12m,1133788,0.6577833333333334,0.6799999999999999,1,2
STU0009,Nursing,2,7.37,0,3,1,0.6,0.7,6,placed_6m,453453,0.5179499999999999,0.84,5,1
STU0010,Engineering,1,7.09,2,1,0,0.75,1.0,12,placed_12m,755825,0.7373166666666666,0.08000000000000002,2,2
STU0011,Arts,1,6.74,3,3,0,0.35,1.0,3,placed_3m,391363,0.7684,0.24,0,0
STU0012,Law,3,6.16,0,2,1,0.45,0.45,12,placed_12m,487061,0.3931,0.76,3,2
STU0013,Engineering,1,7.87,1,4,1,0.75,1.0,12,placed_12m,756192,0.7112833333333333,0.92,2,2
STU0014,Engineering,2,5.75,0,0,1,0.75,0.7,6,placed_6m,674893,0.45374999999999993,0.6,2,1
STU0015,Engineering,2,8.05,1,4,1,0.75,0.7,3,placed_3m,668440,0.6575833333333334,0.92,2,0
STU0016,MBA,2,6.1,0,3,0,0.7,0.7,12,placed_12m,988203,0.48849999999999993,0.24,4,2
STU0017,Data Science,3,6.37,1,0,0,0.85,0.45,6,placed_6m,973561,0.5237833333333333,0.0,1,1
STU0018,MBA,1,5.59,2,4,1,0.7,1.0,12,placed_12m,886764,0.7073166666666666,0.92,4,2
STU0019,Engineering,3,6.65,1,0,0,0.75,0.45,12,placed_12m,708783,0.5185833333333334,0.0,2,2
STU0020,Data Science,3,8.27,1,3,0,0.85,0.45,12,placed_12m,1111654,0.6202833333333333,0.24,1,2
STU0021,Engineering,2,7.77,1,2,1,0.75,0.7,3,placed_3m,725093,0.6277833333333334,0.76,2,0
STU0022,Engineering,3,8.28,1,2,0,0.75,0.45,3,placed_3m,714784,0.5956333333333332,0.16000000000000003,2,0
STU0023,MBA,1,7.77,0,4,1,0.7,1.0,3,placed_3m,834101,0.61695,0.92,4,0
STU0024,MBA,2,5.99,0,1,1,0.7,0.7,24,delayed,746085,0.46464999999999995,0.6799999999999999,4,3
STU0025,Nursing,2,6.84,3,3,1,0.6,0.7,6,placed_6m,479059,0.7494,0.84,5,1
STU0026,Engineering,3,6.34,0,4,0,0.75,0.45,12,placed_12m,640560,0.46440000000000003,0.32000000000000006,2,2
STU0027,Data Science,3,8.66,2,4,0,0.85,0.45,6,placed_6m,1192537,0.7272666666666667,0.32000000000000006,1,1
STU0028,Data Science,2,5.88,3,2,1,0.85,0.7,3,placed_3m,1051457,0.7433000000000001,0.76,1,0
STU0029,Engineering,3,8.18,1,0,0,0.75,0.45,6,placed_6m,635402,0.5721333333333333,0.0,2,1
STU0030,Data Science,1,8.18,1,3,0,0.85,1.0,6,placed_6m,1228035,0.7271333333333332,0.24,1,1
STU0031,Engineering,2,9.21,1,0,0,0.75,0.7,12,placed_12m,824309,0.6581833333333333,0.0,2,2
STU0032,Engineering,2,6.75,3,3,0,0.75,0.7,6,placed_6m,772096,0.76875,0.24,2,1
STU0033,Arts,3,7.98,3,1,0,0.35,0.45,6,placed_6m,339804,0.6818,0.08000000000000002,0,1
STU0034,Arts,2,9.71,2,2,1,0.35,0.7,3,placed_3m,397448,0.7190166666666666,0.76,0,0
STU0035,Law,2,6.52,0,1,0,0.45,0.7,6,placed_6m,688921,0.4457,0.08000000000000002,3,1
STU0036,MBA,1,5.51,2,4,0,0.7,1.0,6,placed_6m,891713,0.7045166666666667,0.32000000000000006,4,1
STU0037,Engineering,1,5.13,1,2,1,0.75,1.0,6,placed_6m,613496,0.5953833333333334,0.76,2,1
STU0038,Data Science,2,7.98,1,4,1,0.85,0.7,12,placed_12m,1035566,0.6701333333333332,0.92,1,2
STU0039,MBA,2,5.13,0,1,0,0.7,0.7,12,placed_12m,803598,0.43455,0.08000000000000002,4,2
STU0040,Engineering,3,6.79,0,3,0,0.75,0.45,12,placed_12m,555682,0.47014999999999996,0.24,2,2
STU0041,MBA,2,7.68,2,4,1,0.7,0.7,3,placed_3m,936015,0.7204666666666667,0.92,4,0
STU0042,Engineering,2,7.4,1,0,1,0.75,0.7,6,placed_6m,726866,0.5948333333333333,0.6,2,1
STU0043,Arts,1,7.67,1,3,1,0.35,1.0,6,placed_6m,385571,0.6342833333333333,0.84,0,1
STU0044,Engineering,3,7.44,1,3,1,0.75,0.45,6,placed_6m,742724,0.5762333333333334,0.84,2,1
STU0045,Data Science,3,8.61,2,1,0,0.85,0.45,3,placed_3m,1169928,0.6955166666666666,0.08000000000000002,1,0
STU0046,MBA,1,6.15,2,1,1,0.7,1.0,3,placed_3m,783768,0.6969166666666666,0.6799999999999999,4,0
STU0047,Data Science,3,6.46,1,2,0,0.85,0.45,12,placed_12m,1030304,0.5469333333333334,0.16000000000000003,1,2
STU0048,Data Science,2,6.35,0,2,1,0.85,0.7,12,placed_12m,1025050,0.5097499999999999,0.76,1,2
STU0049,Engineering,1,8.11,1,0,1,0.75,1.0,6,placed_6m,778181,0.6796833333333332,0.6,2,1
STU0050,Arts,2,8.19,3,3,1,0.35,0.7,12,placed_12m,318109,0.75915,0.84,0,2
STU0051,Nursing,2,7.7,1,0,0,0.6,0.7,12,placed_12m,425983,0.5828333333333332,0.0,5,2
STU0052,Arts,1,8.5,1,0,0,0.35,1.0,6,placed_6m,336722,0.6333333333333333,0.0,0,1
STU0053,Law,3,5.9,1,1,1,0.45,0.45,12,placed_12m,441170,0.45733333333333337,0.6799999999999999,3,2
STU0054,Data Science,3,9.03,1,0,1,0.85,0.45,12,placed_12m,1079817,0.6168833333333332,0.6,1,2
STU0055,Arts,3,8.88,2,0,1,0.35,0.45,6,placed_6m,328753,0.6199666666666667,0.6,0,1
STU0056,Engineering,2,8.01,1,4,0,0.75,0.7,12,placed_12m,845290,0.6561833333333333,0.32000000000000006,2,2
STU0057,Engineering,2,9.16,0,2,0,0.75,0.7,12,placed_12m,725698,0.5931,0.16000000000000003,2,2
STU0058,Engineering,3,5.38,0,2,1,0.75,0.45,6,placed_6m,659931,0.4108,0.76,2,1
STU0059,MBA,2,6.62,1,3,0,0.7,0.7,6,placed_6m,762345,0.5900333333333333,0.24,4,1
STU0060,MBA,1,6.39,3,2,1,0.7,1.0,3,placed_3m,915675,0.7986500000000001,0.76,4,0
STU0061,Engineering,2,7.99,1,3,1,0.75,0.7,6,placed_6m,730959,0.6454833333333334,0.84,2,1
STU0062,Law,3,6.04,2,4,1,0.45,0.45,12,placed_12m,505628,0.5755666666666668,0.92,3,2
STU0063,MBA,2,8.03,2,2,1,0.7,0.7,3,placed_3m,913727,0.7127166666666667,0.76,4,0
STU0064,Engineering,1,8.71,0,4,1,0.75,1.0,3,placed_3m,757016,0.6573500000000001,0.92,2,0
STU0065,Data Science,3,7.96,0,2,0,0.85,0.45,12,placed_12m,985071,0.5161,0.16000000000000003,1,2
STU0066,Engineering,2,7.51,0,2,1,0.75,0.7,12,placed_12m,773409,0.53535,0.76,2,2
STU0067,Law,2,6.11,2,4,0,0.45,0.7,3,placed_3m,593170,0.6280166666666667,0.32000000000000006,3,0
STU0068,Engineering,1,6.27,0,0,1,0.75,1.0,12,placed_12m,706070,0.5319499999999999,0.6,2,2
